Pest Name,Most Commonly Used Pesticides
sericaorient alismots chulsky,"Thiamethoxam, Clothianidin, Imidacloprid"
small brown plant hopper,"Imidacloprid, Chlorpyrifos, Acephate"
Spilosoma Obliqua,"Bacillus thuringiensis, Cypermethrin, Chlorantraniliprole"
stem borer,"Neonicotinoids, Pyrethroids, Chlorantraniliprole"
Sternochetus frigidus,"Chlorpyrifos, Carbaryl, Imidacloprid"
tarnished plant bug,"Imidacloprid, Lambda-cyhalothrin, Methomyl"
Termite,"Chlorpyrifos, Imidacloprid, Fipronil"
Termite odontotermes (Rambur),"Chlorpyrifos, Imidacloprid, Fipronil"
Tetradacus c Bactrocera minax,"Malathion, Spinosad, Imidacloprid"
therioaphis maculata Buckton,"Imidacloprid, Acetamiprid, Thiamethoxam"
Thrips,"Spinosad, Abamectin, Imidacloprid"
Toxoptera aurantii,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
Toxoptera citricidus,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
Trialeurodes vaporariorum,"Neonicotinoids, Pyrethroids, Imidacloprid"
Unaspis yanonensis,"Imidacloprid, Chlorpyrifos, Abamectin"
Viteus vitifoliae,"Pyrethroids, Organophosphates, Neonicotinoids"
wheat blossom midge,"Chlorpyrifos, Imidacloprid, Lambda-cyhalothrin"
wheat phloeothrips,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
wheat sawfly,"Chlorpyrifos, Acetamiprid, Imidacloprid"
white backed plant hopper,"Imidacloprid, Thiamethoxam, Chlorpyrifos"
white margined moth,"Chlorantraniliprole, Spinosad, Bacillus thuringiensis"
whitefly,"Imidacloprid, Thiamethoxam, Pyrethroids"
wireworm,"Chlorpyrifos, Imidacloprid, Fipronil"
Xylotrechus,"Methoxyfenozide, Chlorpyrifos, Fipronil"
yellow cutworm,"Chlorpyrifos, Methomyl, Carbaryl"
Yellow Mite,"Spiromesifen, Abamectin, Fenazaquin"
yellow rice borer,"Chlorpyrifos, Neonicotinoids, Fipronil"
